26/10/2012;NZDCHF;0.34;-0.596
26/10/2012;NZDJPY;0.292;-0.547
26/10/2012;NZDSGD;0.446;-0.836
26/10/2012;NZDUSD;0.349;-0.623
26/10/2012;SILVER;-1.3;-0.4
26/10/2012;USDCAD;-0.341;0.008
26/10/2012;USDCHF;-0.036;-0.146
26/10/2012;USDCZK;-2.214;-0.145
26/10/2012;USDDKK;-0.225;-1.06
26/10/2012;USDHUF;-3.809;3.324
26/10/2012;USDJPY;-0.051;-0.127
26/10/2012;USDNOK;-2.618;1.012
26/10/2012;USDRUB;-72.8;39.2
26/10/2012;USDSEK;-2.574;1.455
26/10/2012;USDSGD;-0.078;-0.193
30/11/2012;AUDCAD;0.267428571;-0.641571429
30/11/2012;AUDCHF;0.508571429;-0.861428571
30/11/2012;AUDJPY;0.439285714;-0.751285714
30/11/2012;AUDNZD;-0.073;-0.101285714
30/11/2012;AUDUSD;0.710571429;-0.885142857
30/11/2012;CADJPY;0.093285714;-0.325142857
30/11/2012;CHFJPY;-0.133;-0.112428571
30/11/2012;EURAUD;-1.059428571;0.613428571
30/11/2012;EURCAD;-0.412142857;0.163
30/11/2012;EURCHF;-0.104857143;-0.13
30/11/2012;EURCZK;-0.221;-0.199
30/11/2012;EURDKK;-0.938571429;-1.133428571
30/11/2012;EURGBP;-0.149;0.014714286
30/11/2012;EURJPY;-0.075428571;-0.102714286
30/11/2012;EURNOK;-3.499;0.847714286
30/11/2012;EURNZD;-1.209857143;0.863571429
30/11/2012;EURRUB;-93.97142857;50.6
30/11/2012;EURSEK;-4.265142857;1.869
30/11/2012;EURSGD;-0.413571429;-0.069142857
30/11/2012;EURUSD;-0.122571429;-0.093
30/11/2012;EURZAR;-17.63042857;13.56985714
30/11/2012;GBPAUD;-1.141285714;0.596142857
30/11/2012;GBPCAD;-0.431714286;0.083857143
30/11/2012;GBPCHF;0.062714286;-0.390857143
30/11/2012;GBPJPY;0.040571429;-0.257857143
30/11/2012;GBPNZD;-1.285;0.597857143
30/11/2012;GBPSEK;-3.556571429;0.920714286
30/11/2012;GBPUSD;-0.033428571;-0.274
30/11/2012;GOLD;-5.9;-1.9
30/11/2012;NOKSEK;-0.049;-0.375
30/11/2012;NZDCAD;0.168714286;-0.488428571
30/11/2012;NZDCHF;0.341142857;-0.599714286
30/11/2012;NZDJPY;0.312285714;-0.578571429
30/11/2012;NZDSGD;0.465428571;-0.859571429
30/11/2012;NZDUSD;0.358857143;-0.635285714
30/11/2012;SILVER;-1.3;-0.4
30/11/2012;USDCAD;-0.335;0.004428571
30/11/2012;USDCHF;-0.044142857;-0.137142857
30/11/2012;USDCZK;-2.150571429;-0.230285714
30/11/2012;USDDKK;-0.338285714;-0.943142857
30/11/2012;USDHUF;-3.485571429;2.999571429
30/11/2012;USDJPY;-0.048857143;-0.134714286
30/11/2012;USDNOK;-2.641;1.063428571
30/11/2012;USDRUB;-68.34285714;36.8
30/11/2012;USDSEK;-2.666142857;1.554142857
30/11/2012;USDSGD;-0.068428571;-0.202714286
28/12/2012;AUDCAD;0.144;-0.517
28/12/2012;AUDCHF;0.394;-0.737
28/12/2012;AUDJPY;0.365;-0.688
28/12/2012;AUDNZD;-0.175;0
28/12/2012;AUDUSD;0.588;-0.762
28/12/2012;CADJPY;0.113;-0.353
28/12/2012;CHFJPY;-0.136;-0.125
28/12/2012;EURAUD;-0.969;0.511
28/12/2012;EURCAD;-0.456;0.2
28/12/2012;EURCHF;-0.121;-0.114
28/12/2012;EURCZK;-0.244;-0.174
28/12/2012;EURDKK;-0.953;-1.119
28/12/2012;EURGBP;-0.164;0.027
28/12/2012;EURJPY;-0.088;-0.101
28/12/2012;EURNOK;-3.581;0.921
28/12/2012;EURNZD;-1.225;0.869
28/12/2012;EURRUB;-93.6;50.4
28/12/2012;EURSEK;-3.929;1.548
28/12/2012;EURSGD;-0.434;-0.058
28/12/2012;EURUSD;-0.15;-0.07
28/12/2012;EURZAR;-16.955;12.911
28/12/2012;GBPAUD;-0.99;0.438
28/12/2012;GBPCAD;-0.453;0.101
28/12/2012;GBPCHF;0.065;-0.388
28/12/2012;GBPJPY;0.053;-0.281
28/12/2012;GBPNZD;-1.251;0.553
28/12/2012;GBPSEK;-2.958;0.373
28/12/2012;GBPUSD;-0.04;-0.269
28/12/2012;GOLD;-5.9;-1.9
28/12/2012;NZDCAD;0.136;-0.454
28/12/2012;NZDCHF;0.312;-0.563
28/12/2012;NZDJPY;0.308;-0.583
28/12/2012;NZDSGD;0.441;-0.832
28/12/2012;NZDUSD;0.329;-0.603
28/12/2012;SILVER;-1.3;-0.4
28/12/2012;USDCAD;-0.343;0.011
28/12/2012;USDCHF;-0.038;-0.14
28/12/2012;USDCZK;-2.085;-0.243
28/12/2012;USDDKK;-0.236;-1.022
28/12/2012;USDHUF;-2.722;2.231
28/12/2012;USDJPY;-0.041;-0.151
28/12/2012;USDNOK;-2.545;0.993
28/12/2012;USDRUB;-70.2;37.8
28/12/2012;USDSEK;-2.239;1.156
28/12/2012;USDSGD;-0.054;-0.217
01/02/2013;AUDCAD;0.317;-0.691
01/02/2013;AUDCHF;0.561;-0.9
01/02/2013;AUDJPY;0.547;-0.893
01/02/2013;AUDNZD;-0.069;-0.103
01/02/2013;AUDUSD;0.561;-0.951
01/02/2013;CADJPY;0.118;-0.374
01/02/2013;CHFJPY;-0.167;-0.116
01/02/2013;EURAUD;-1.233;0.757
01/02/2013;EURCAD;-0.482;0.216
01/02/2013;EURCHF;-0.11;-0.131
01/02/2013;EURCZK;-0.243;-0.185
01/02/2013;EURDKK;-0.974;-1.098
01/02/2013;EURGBP;-0.175;0.031
01/02/2013;EURJPY;-0.109;-0.102
01/02/2013;EURNOK;-3.657;0.971
01/02/2013;EURNZD;-1.386;1.025
01/02/2013;EURRUB;-94.9;51.1
01/02/2013;EURSEK;-3.705;1.315
01/02/2013;EURSGD;-0.466;-0.052
01/02/2013;EURUSD;-0.14;-0.087
01/02/2013;EURZAR;-22.046;17.617
01/02/2013;GBPAUD;-1.227;0.685
01/02/2013;GBPCAD;-0.45;0.104
01/02/2013;GBPCHF;0.082;-0.396
01/02/2013;GBPJPY;0.048;-0.288
01/02/2013;GBPNZD;-1.36;0.69
01/02/2013;GBPSEK;-2.511;0.055
01/02/2013;GBPUSD;-0.017;-0.286
01/02/2013;GOLD;-5.9;-1.9
01/02/2013;NZDCAD;0.21;-0.537
01/02/2013;NZDCHF;0.391;-0.644
01/02/2013;NZDJPY;0.4;-0.702
01/02/2013;NZDSGD;0.544;-0.95
01/02/2013;NZDUSD;0.42;-0.7
01/02/2013;SILVER;-1.3;-0.4
01/02/2013;USDCAD;-0.361;0.028
01/02/2013;USDCHF;-0.038;-0.138
01/02/2013;USDCZK;-2.072;-0.224
01/02/2013;USDDKK;-0.303;-0.91
01/02/2013;USDHUF;-3.328;2.852
01/02/2013;USDJPY;-0.061;-0.143
01/02/2013;USDNOK;-2.57;1.058
01/02/2013;USDRUB;-68.9;37.1
01/02/2013;USDSEK;-2.064;1.015
01/02/2013;USDSGD;-0.076;-0.2
01/03/2013;AUDCAD;0.129;-0.508
01/03/2013;AUDCHF;0.392;-0.739
01/03/2013;AUDJPY;0.353;-0.7
01/03/2013;AUDNZD;-0.274;0.103
01/03/2013;AUDUSD;0.576;-0.748
